product_id,category,canonical_product_name,csv_product_name,source_condition
1,cpu,Intel 6530 拆机,Intel 6530,拆机
84,cpu,Intel 6430 拆机,Intel 6430,拆机
102,cpu,Intel 6767P 拆机,Intel 6767P,拆机
313,cpu,Intel 8468 拆机,Intel 8468,拆机
285,cpu,Intel 8468V 拆机,Intel 8468V,拆机
304,cpu,Intel 8558 拆机,Intel 8558,拆机
305,cpu,Intel 8558P 拆机,Intel 8558P,拆机
3901,gpu,RTX 5090 32G 涡轮 全新,RTX 5090 32G 涡轮,全新
4292,gpu,RTX 5090 32G 风扇 全新,RTX 5090 32G 风扇,全新
3903,gpu,RTX 4090 48G 涡轮 全新,RTX 4090 48G 涡轮,全新
3904,gpu,RTX 4090 24G 涡轮 全新,RTX 4090 24G 涡轮,全新
377,gpu,RTX PRO 6000 96G 服务器版 全新,RTX PRO 6000 96G 服务器版,全新
376,gpu,RTX PRO 6000 96G 工作站版 全新,RTX PRO 6000 96G 工作站版,全新
383,gpu,RTX PRO 6000D 84G 全新,RTX PRO 6000D 84G,全新
379,gpu,RTX PRO 6000 MAX-Q 96G 全新,RTX PRO 6000 MAX-Q 96G,全新
319,gpu,RTX PRO 5000 72G 全新,RTX PRO 5000 72G,全新
318,gpu,RTX PRO 5000 48G 全新,RTX PRO 5000 48G,全新
347,gpu,L20 48G 全新,L20 48G,全新
469,gpu,L40 48G 全新,L40 48G,全新
1768,gpu,L40S 48G 全新,L40S 48G,全新
309,gpu,H200 141G 原版 PCIE 全新,H200 141G 原版 PCIE,全新
310,gpu,H100 80G 原版 PCIE 全新,H100 80G 原版 PCIE,全新
508,gpu,A100 40G 原版 PCIE 全新,A100 40G 原版 PCIE,全新
320,gpu,A100 80G 原版 PCIE 全新,A100 80G 原版 PCIE,全新
125,memory,长鑫 64G 5600 拆机,长鑫 64G 5600,拆机
119,memory,海力士 64G 5600 拆机,海力士 64G 5600,拆机
65,memory,三星 64G 5600 拆机,三星 64G 5600,拆机
64,memory,镁光 64G 5600 拆机,镁光 64G 5600,拆机
124,memory,镁光 64G 6400 拆机,镁光 64G 6400,拆机
67,memory,海力士 64G 6400 拆机,海力士 64G 6400,拆机
66,memory,三星 64G 6400 拆机,三星 64G 6400,拆机
211,memory,镁光 64G 4800 拆机,镁光 64G 4800,拆机
63,memory,三星 64G 4800 拆机,三星 64G 4800,拆机
62,memory,海力士 64G 4800 拆机,海力士 64G 4800,拆机
223,memory,镁光 32G 5600 拆机,镁光 32G 5600,拆机
121,memory,长鑫 32G 5600 拆机,长鑫 32G 5600,拆机
61,memory,海力士 32G 5600 拆机,海力士 32G 5600,拆机
36,memory,三星 32G 5600 拆机,三星 32G 5600,拆机
60,memory,海力士 32G 4800 拆机,海力士 32G 4800,拆机
59,memory,三星 32G 4800 拆机,三星 32G 4800,拆机
37,memory,镁光 32G 4800 拆机,镁光 32G 4800,拆机
165,memory,镁光 96G 5600 拆机,镁光 96G 5600,拆机
70,memory,海力士 96G 5600 拆机,海力士 96G 5600,拆机
69,memory,三星 96G 5600 拆机,三星 96G 5600,拆机
572,memory,镁光 96G 6400 拆机,镁光 96G 6400,拆机
266,memory,海力士 96G 6400 拆机,海力士 96G 6400,拆机
265,memory,三星 96G 6400 拆机,三星 96G 6400,拆机
7188,memory,海力士 96G 4800 拆机,海力士 96G 4800,拆机
2594,memory,镁光 96G 4800 拆机,镁光 96G 4800,拆机
162,memory,三星 96G 4800 拆机,三星 96G 4800,拆机
219,memory,海力士 32G 2933 拆机,海力士 32G 2933,拆机
28,memory,镁光 32G 2933 拆机,镁光 32G 2933,拆机
27,memory,三星 32G 2933 拆机,三星 32G 2933,拆机
26,memory,镁光 32G 3200 拆机,镁光 32G 3200,拆机
25,memory,海力士 32G 3200 拆机,海力士 32G 3200,拆机
24,memory,三星 32G 3200 拆机,三星 32G 3200,拆机
120,memory,镁光 64G 2933 拆机,镁光 64G 2933,拆机
116,memory,三星 64G 2933 拆机,三星 64G 2933,拆机
32,memory,海力士 64G 2933 拆机,海力士 64G 2933,拆机
31,memory,镁光 64G 3200 拆机,镁光 64G 3200,拆机
30,memory,海力士 64G 3200 拆机,海力士 64G 3200,拆机
29,memory,三星 64G 3200 拆机,三星 64G 3200,拆机
